3.6187223463146290e-002	5.0000000000000000e-001
3.6060384711395804e-002	4.9824746500000000e-001
3.5950022998678249e-002	4.9672259369999999e-001
3.5825909692331827e-002	4.9500771630000001e-001
3.5700973688429789e-002	4.9328147170000003e-001
3.5576631493737999e-002	4.9156343159999999e-001
3.5461350361856631e-002	4.8997058859999998e-001
3.5341983413964093e-002	4.8832129180000000e-001
3.5218533958166584e-002	4.8661558680000000e-001
3.5095480397023926e-002	4.8491535190000001e-001
3.4968904689575052e-002	4.8316645140000003e-001
3.4857416741400471e-002	4.8162601890000001e-001
3.4731907709974127e-002	4.7989185670000001e-001
3.4605883334959911e-002	4.7815057389999999e-001
3.4484435488546537e-002	4.7647252520000000e-001
3.4374149217062187e-002	4.7494869630000003e-001
3.4243008160491049e-002	4.7313671629999998e-001
3.4131914495993190e-002	4.7160173160000002e-001
3.4002686134051684e-002	4.6981617939999998e-001
3.3888297159594627e-002	4.6823566319999999e-001
3.3762794314591754e-002	4.6650158650000001e-001
3.3643285925858461e-002	4.6485033529999997e-001
3.3518591457030261e-002	4.6312742800000001e-001
3.3404083011638497e-002	4.6154526120000000e-001
3.3280570183144773e-002	4.5983868059999999e-001
3.3152275057910727e-002	4.5806602289999998e-001
3.3040593783266174e-002	4.5652291919999999e-001
3.2919974955198536e-002	4.5485632500000001e-001
3.2795363890274085e-002	4.5313457000000001e-001
3.2673456278935580e-002	4.5145016880000000e-001
3.2555504396684455e-002	4.4982042389999999e-001
3.2424538934477068e-002	4.4801087000000001e-001
3.2306860653804823e-002	4.4638490549999998e-001
3.2181213953972040e-002	4.4464884119999998e-001
3.2067359385191625e-002	4.4307570899999998e-001
3.1942886259744091e-002	4.4135585989999998e-001
3.1825766745329317e-002	4.3973761600000000e-001
3.1703343116892088e-002	4.3804608480000001e-001
3.1583651634242461e-002	4.3639230379999999e-001
3.1458345747226682e-002	4.3466094849999998e-001
3.1337661282477156e-002	4.3299344750000002e-001
3.1214243991686492e-002	4.3128818689999998e-001
3.1091848652728814e-002	4.2959704669999998e-001
3.0979380056164359e-002	4.2804306450000001e-001
3.0850478348302506e-002	4.2626202559999998e-001
3.0735187123849816e-002	4.2466904309999998e-001
3.0612262621992507e-002	4.2297059149999999e-001
3.0494608204327027e-002	4.2134495659999999e-001
3.0363968081571806e-002	4.1953989800000002e-001
3.0250843340382663e-002	4.1797684990000000e-001
3.0122445744193548e-002	4.1620277630000002e-001
3.0005425271842436e-002	4.1458590080000002e-001
2.9877423263936352e-002	4.1281729309999998e-001
2.9766979187875305e-002	4.1129128380000002e-001
2.9641196278740990e-002	4.0955333729999999e-001
2.9519696190701102e-002	4.0787456680000000e-001
2.9398275470827344e-002	4.0619689300000000e-001
2.9277301435340145e-002	4.0452539100000001e-001
2.9161083265194825e-002	4.0291960090000001e-001
2.9035448348875774e-002	4.0118369929999997e-001
2.8915709156598652e-002	3.9952925909999998e-001
2.8789689304125780e-002	3.9778803880000002e-001
2.8675610981535791e-002	3.9621181509999998e-001
2.8549533091280659e-002	3.9446979290000000e-001
2.8428772428076857e-002	3.9280123909999998e-001
2.8308305717138823e-002	3.9113674669999998e-001
2.8182477759373062e-002	3.8939817789999998e-001
2.8066585610431793e-002	3.8779689249999999e-001
2.7947896214797117e-002	3.8615695729999999e-001
2.7816849007701611e-002	3.8434627399999999e-001
2.7698196493532376e-002	3.8270684849999997e-001
2.7576852082601664e-002	3.8103022889999999e-001
2.7453447931150985e-002	3.7932514989999999e-001
2.7340015506961031e-002	3.7775785060000000e-001
2.7219100217319096e-002	3.7608716019999999e-001
2.7099105337595630e-002	3.7442918720000001e-001
2.6970748120771621e-002	3.7265567150000001e-001
2.6857478433817628e-002	3.7109062069999998e-001
2.6726788731930327e-002	3.6928487700000001e-001
2.6608851346343797e-002	3.6765533249999999e-001
2.6492158473217148e-002	3.6604298340000002e-001
2.6366676151469818e-002	3.6430919020000002e-001
2.6240686225580064e-002	3.6256838340000003e-001
2.6126054043362511e-002	3.6098450700000001e-001
2.6004319749947682e-002	3.5930250050000001e-001
2.5885518994925326e-002	3.5766102670000000e-001
2.5756737708669049e-002	3.5588165170000002e-001
2.5645306096378266e-002	3.5434199760000001e-001
2.5517322840539272e-002	3.5257364889999998e-001
2.5397011851655098e-002	3.5091130819999999e-001
2.5277862931455591e-002	3.4926502380000002e-001
2.5158619228340843e-002	3.4761742990000000e-001
2.5036998199305306e-002	3.4593698830000003e-001
2.4908081944871603e-002	3.4415574840000002e-001
2.4789878363437767e-002	3.4252252579999998e-001
2.4673196253678285e-002	3.4091032539999999e-001
2.4548465002264267e-002	3.3918690979999999e-001
2.4424005273370478e-002	3.3746724579999998e-001
2.4312295275532338e-002	3.3592374530000002e-001
2.4179966730130498e-002	3.3409535759999998e-001
2.4069240335877446e-002	3.3256544760000001e-001
2.3939733397468087e-002	3.3077604610000000e-001
2.3816131541765283e-002	3.2906823549999997e-001
2.3705769826800172e-002	3.2754336420000002e-001
2.3581656533375590e-002	3.2582848689999999e-001
2.3456720526476810e-002	3.2410224220000000e-001
2.3332378332534202e-002	3.2238420220000003e-001
2.3217097195408529e-002	3.2079135910000001e-001
2.3097730250045308e-002	3.1914206229999997e-001
2.2974280798461165e-002	3.1743635730000003e-001
2.2851227240315249e-002	3.1573612249999999e-001
2.2724651531368004e-002	3.1398722190000000e-001
2.2613163584691787e-002	3.1244678949999999e-001
2.2487654537346857e-002	3.1071262710000003e-001
2.2361630164580201e-002	3.0897134440000001e-001
2.2240182334271094e-002	3.0729329579999998e-001
